~~~~~~~ Unclassified ~~~~~~
"Benchmark Name","Benchmark ID","Release Info","Version","Group ID","Severity","Rule ID","STIG ID","Classification","Asset Posture","SRG ID","Rule Title","Fix Text","Discussion","CCIs","Legacy IDs","Check Content","Check Content Ref","IA Controls","Weight","False Positives","False Negatives","Documentable","Security Override Guidance","Potential Impacts","Third Party Tools","Responsibility","Mitigations","Mitigation Control","Status","Comments","Finding Details","Severity Override","Severity Override Reason","FQDN","IP Address","MAC Address","Host Name","Technology Area"
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220474","medium","SV-220474r960735","CISC-ND-000010","Unclassified","4066","SRG-APP-000001-NDM-000200","The Cisco switch must be configured to limit the number of concurrent management sessions to an organization-defined number.","Configure the switch to limit the number of concurrent management sessions to an organization-defined number as shown in the example below:

SW4(config)# line vty 
SW4(config)# session-limit 2","Device management includes the ability to control the number of administrators and management sessions that manage a device. Limiting the number of allowed administrators and sessions per administrator based on account type, role, or access type is helpful in limiting risks related to DoS attacks.

This requirement addresses concurrent sessions for administrative accounts and does not address concurrent sessions by a single administrator via multiple administrative accounts. The maximum number of concurrent sessions should be defined based upon mission needs and the operational environment for each system. At a minimum, limits must be set for SSH, HTTPS, account of last resort, and root account sessions.","CCI-000054
Limit the number of concurrent sessions for each organization-defined account and/or account type to an organization-defined number.
NIST SP 800-53::AC-10
NIST SP 800-53A::AC-10.1 (ii)
NIST SP 800-53 Revision 4::AC-10
NIST SP 800-53 Revision 5::AC-10
","SV-110595;V-101491","Review the switch configuration to determine if concurrent management sessions are limited as show in the example below:

line vty 
 session-limit 2

If the switch is not configured to limit the number of concurrent management sessions, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not Applicable","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220475","medium","SV-220475r960777","CISC-ND-000090","Unclassified","4066","SRG-APP-000026-NDM-000208","The Cisco switch must be configured to automatically audit account creation.","Configure the switch to log account creation using the following steps:

Step 1: Configure the AAA servers as shown in the example below:

SW1(config)# radius-server host 10.1.48.10 
SW1(config)# radius-server host 10.1.48.12

Step 2: Configure an AAA server group as shown in the example below:

SW1(config)# aaa group server radius RADIUS_SERVERS
SW1(config-radius)# server 10.1.48.10 
SW1(config-radius)# server 10.1.48.12
SW1(config-radius)# exit

Step 3: Enable AAA accounting as shown in the example below:

SW1(config)# aaa accounting default group RADIUS_SERVERS
SW1(config)# end","Upon gaining access to a network device, an attacker will often first attempt to create a persistent method of reestablishing access. One way to accomplish this is to create a new account. Notification of account creation helps to mitigate this risk. Auditing account creation provides the necessary reconciliation that account management procedures are being followed. Without this audit trail, personnel without the proper authorization may gain access to critical network nodes.","CCI-000018
Automatically audit account creation actions.
NIST SP 800-53::AC-2 (4)
NIST SP 800-53A::AC-2 (4).1 (i and ii)
NIST SP 800-53 Revision 4::AC-2 (4)
NIST SP 800-53 Revision 5::AC-2 (4)
","SV-110597;V-101493","Review the switch configuration to determine if it automatically audits account creation. 

Step 1: Verify that account records will be sent to an AAA server as shown in the example below:

aaa accounting default group RADIUS_SERVERS

Step 2: Verify that the referenced group name has defined AAA servers that are online.

aaa group server radius RADIUS_SERVERS 
 server 10.1.48.10 
 server 10.1.48.12

Note: Cisco NX-OS devices report configuration activity to TACACS+ or RADIUS servers in the form of accounting records. Each accounting record contains accounting attribute-value (AV) pairs and is stored on the AAA server.

If account creation is not automatically audited, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not a Finding","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220476","medium","SV-220476r960780","CISC-ND-000100","Unclassified","4066","SRG-APP-000027-NDM-000209","The Cisco switch must be configured to automatically audit account modification.","Configure the switch to log account modification using the following steps:

Step 1: Configure the AAA servers as shown in the example below:

SW1(config)# radius-server host 10.1.48.10 
SW1(config)# radius-server host 10.1.48.12

Step 2: Configure an AAA server group as shown in the example below:

SW1(config)# aaa group server radius RADIUS_SERVERS
SW1(config-radius)# server 10.1.48.10 
SW1(config-radius)# server 10.1.48.12
SW1(config-radius)# exit

Step 3: Enable AAA accounting as shown in the example below:

SW1(config)# aaa accounting default group RADIUS_SERVERS
SW1(config)# end","Since the accounts in the network device are privileged or system-level accounts, account management is vital to the security of the network device. Account management by a designated authority ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel with the appropriate and necessary privileges. Auditing account modification along with an automatic notification to appropriate individuals will provide the necessary reconciliation that account management procedures are being followed. If modifications to management accounts are not audited, reconciliation of account management procedures cannot be tracked.","CCI-001403
Automatically audit account modification actions.
NIST SP 800-53::AC-2 (4)
NIST SP 800-53A::AC-2 (4).1 (i and ii)
NIST SP 800-53 Revision 4::AC-2 (4)
NIST SP 800-53 Revision 5::AC-2 (4)
","SV-110599;V-101495","Review the switch configuration to determine if it automatically audits account modification.

Step 1: Verify that account records will be sent to an AAA server as shown in the example below:

aaa accounting default group RADIUS_SERVERS

Step 2: Verify that the referenced group name has defined AAA servers that are online.

aaa group server radius RADIUS_SERVERS 
 server 10.1.48.10 
 server 10.1.48.12

Note: Cisco NX-OS devices report configuration activity to TACACS+ or RADIUS servers in the form of accounting records. Each accounting record contains accounting attribute-value (AV) pairs and is stored on the AAA server.

If account modification is not automatically audited, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not a Finding","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220477","medium","SV-220477r960783","CISC-ND-000110","Unclassified","4066","SRG-APP-000028-NDM-000210","The Cisco switch must be configured to automatically audit account disabling actions.","Configure the switch to log account disabling using the following steps:

Step 1: Configure the AAA servers as shown in the example below:

SW1(config)# radius-server host 10.1.48.10 
SW1(config)# radius-server host 10.1.48.12

Step 2: Configure an AAA server group as shown in the example below:

SW1(config)# aaa group server radius RADIUS_SERVERS
SW1(config-radius)# server 10.1.48.10 
SW1(config-radius)# server 10.1.48.12
SW1(config-radius)# exit

Step 3: Enable AAA accounting as shown in the example below:

SW1(config)# aaa accounting default group RADIUS_SERVERS
SW1(config)# end","Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account disabling actions will support account management procedures. When device management accounts are disabled, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.","CCI-001404
Automatically audit account disabling actions.
NIST SP 800-53::AC-2 (4)
NIST SP 800-53A::AC-2 (4).1 (i and ii)
NIST SP 800-53 Revision 4::AC-2 (4)
NIST SP 800-53 Revision 5::AC-2 (4)
","SV-110601;V-101497","Review the switch configuration to determine if it automatically audits account disabling. 

Step 1: Verify that account records will be sent to an AAA server as shown in the example below:

aaa accounting default group RADIUS_SERVERS

Step 2: Verify that the referenced group name has defined AAA servers that are online.

aaa group server radius RADIUS_SERVERS 
 server 10.1.48.10 
 server 10.1.48.12

Note: Cisco NX-OS devices report configuration activity to TACACS+ or RADIUS servers in the form of accounting records. Each accounting record contains accounting attribute-value (AV) pairs and is stored on the AAA server.

If account disabling is not automatically audited, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not a Finding","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220478","medium","SV-220478r960786","CISC-ND-000120","Unclassified","4066","SRG-APP-000029-NDM-000211","The Cisco switch must be configured to automatically audit account removal actions.","Configure the switch to log account removal using the following steps:

Step 1: Configure the AAA servers as shown in the example below:

SW1(config)# radius-server host 10.1.48.10 
SW1(config)# radius-server host 10.1.48.12

Step 2: Configure an AAA server group as shown in the example below:

SW1(config)# aaa group server radius RADIUS_SERVERS
SW1(config-radius)# server 10.1.48.10 
SW1(config-radius)# server 10.1.48.12
SW1(config-radius)# exit

Step 3: Enable AAA accounting as shown in the example below:

SW1(config)# aaa accounting default group RADIUS_SERVERS
SW1(config)# end","Account management, as a whole, ensures access to the network device is being controlled in a secure manner by granting access to only authorized personnel. Auditing account removal actions will support account management procedures. When device management accounts are terminated, user or service accessibility may be affected. Auditing also ensures authorized active accounts remain enabled and available for use when required.","CCI-001405
Automatically audit account removal actions.
NIST SP 800-53::AC-2 (4)
NIST SP 800-53A::AC-2 (4).1 (i and ii)
NIST SP 800-53 Revision 4::AC-2 (4)
NIST SP 800-53 Revision 5::AC-2 (4)
","SV-110603;V-101499","Review the switch configuration to determine if it automatically audits account removal. 

Step 1: Verify that account records will be sent to an AAA server as shown in the example below:

aaa accounting default group RADIUS_SERVERS

Step 2: Verify that the referenced group name has defined AAA servers that are online.

aaa group server radius RADIUS_SERVERS 
 server 10.1.48.10 
 server 10.1.48.12

Note: Cisco NX-OS devices report configuration activity to TACACS+ or RADIUS servers in the form of accounting records. Each accounting record contains accounting attribute-value (AV) pairs and is stored on the AAA server.

If account removal is not automatically audited, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not a Finding","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220479","medium","SV-220479r1137875","CISC-ND-000140","Unclassified","4066","SRG-APP-000038-NDM-000213","The Cisco switch must be configured to enforce approved authorizations for controlling the flow of management information within the device based on control policies.","Configure the Cisco switch to restrict management access to specific IP addresses as shown in the example below:

SW1(config)# ip access-list MGMT_NET 
SW1(config-acl)# permit ip 10.1.48.0/24 any
SW1(config-acl)# deny ip any any log
SW1(config-acl)# exit
SW1(config)# line vty
SW1(config-line)# access-class MGMT_NET in
SW1(config-acl)# end


NX-OS v8 and later example:

SW1(config)# ip access-list MGMT_NET  
SW1(config-acl)# permit ip 10.1.48.0/24 any 
SW1(config-acl)# deny ip any any log 
SW1(config-acl)# exit 
SW1(config)# interface mgmt0
SW1(config-if)#  ip access-group MGMT_NET in 
SW1(config-acl)# end","A mechanism to detect and prevent unauthorized communication flow must be configured or provided as part of the system design. If management information flow is not enforced based on approved authorizations, the network device may become compromised. Information flow control regulates where management information is allowed to travel within a network device. The flow of all management information must be monitored and controlled so it does not introduce any unacceptable risk to the network device or data. 

Application-specific examples of enforcement occur in systems that employ rule sets or establish configuration settings that restrict information system services or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics).

Applications providing information flow control must be able to enforce approved authorizations for controlling the flow of management information within the system in accordance with applicable policy.","CCI-001368
Enforce approved authorizations for controlling the flow of information within the system based on organization-defined information flow control policies.
NIST SP 800-53::AC-4
NIST SP 800-53A::AC-4.1 (iii)
NIST SP 800-53 Revision 4::AC-4
NIST SP 800-53 Revision 5::AC-4
CCI-004192
Protect nonlocal maintenance sessions by separating the maintenance session from other network sessions with the system by logically separated communications paths.
NIST SP 800-53 Revision 5::MA-4 (4) (b) (2)
","SV-110605;V-101501","Review the Cisco switch configuration to verify that it is compliant with this requirement. 

Step 1: Verify that the line vty has an ACL inbound applied as shown in the example below:

line vty
 access-class MGMT_NET in

Step 2: Verify that the ACL permits only hosts from the management network to access the switch.

ip access-list MGMT_NET
 10 permit ip 10.1.48.0/24 any 
 20 deny ip any any log


NX-OS v8 and later example:
Step 1: Verify that an ACL has been applied to the management interface inbound as shown in the example below: 

interface mgmt0
ip access-group MGMT_NET in 

Step 2: Verify that the ACL permits only hosts from the management network to access the switch. 

ip access-list MGMT_NET 
10 permit ip 10.1.48.0/24 any  
20 deny ip any any log 

If the Cisco switch is not configured to enforce approved authorizations for controlling the flow of management information within the device based on control policies, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Open","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220480","medium","SV-220480r960840","CISC-ND-000150","Unclassified","4066","SRG-APP-000065-NDM-000214","The Cisco switch must be configured to enforce the limit of three consecutive invalid logon attempts, after which time it must disconnect the session.","Configure the Cisco switch to enforce the limit of three consecutive invalid logon attempts as shown in the example below:

SW2(config)# ssh login-attempts 3","By limiting the number of failed logon attempts, the risk of unauthorized system access via user password guessing, otherwise known as brute-forcing, is reduced.","CCI-000044
Enforce the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.
NIST SP 800-53::AC-7 a
NIST SP 800-53A::AC-7.1 (ii)
NIST SP 800-53 Revision 4::AC-7 a
NIST SP 800-53 Revision 5::AC-7 a
","SV-110607;V-101503","Review the Cisco switch configuration to verify that it enforces the limit of three consecutive invalid logon attempts as shown in the example below:

ssh login-attempts 3

If the Cisco switch is not configured to enforce the limit of three consecutive invalid logon attempts, this is a finding.

NOTE: The NX-OS switch does not lock out the account, it disconnects the session. The AAA server will lock out the user account on three failed attempts.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not a Finding","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220481","medium","SV-220481r960843","CISC-ND-000160","Unclassified","4066","SRG-APP-000068-NDM-000215","The Cisco switch must be configured to display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device.","Configure the Cisco switch to display the Standard Mandatory DoD Notice and Consent Banner before granting access as shown in the following example:

SW1(config)# banner motd #
Enter TEXT message. End with the character '#'.
> You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.
> 
> By using this IS (which includes any device attached to this IS), you consent to the following conditions:
> 
> -The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, 
> penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law 
> enforcement (LE), and counterintelligence (CI) investigations.
> 
> -At any time, the USG may inspect and seize data stored on this IS.
> 
> -Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and 
> search, and may be disclosed or used for any USG-authorized purpose.
> 
> -This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your 
> personal benefit or privacy.
> 
> -Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or 
> monitoring of the content of privileged communications, or work product, related to personal representation or services 
> by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and 
> confidential. See User Agreement for details.
> #
SW1(config)# end","Display of the DoD-approved use notification before granting access to the network device ensures privacy and security notification verbiage used is consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.

System use notifications are required only for access via logon interfaces with human users.","CCI-000048
Display an organization-defined system use notification message or banner to users before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidelines.
NIST SP 800-53::AC-8 a
NIST SP 800-53A::AC-8.1 (ii)
NIST SP 800-53 Revision 4::AC-8 a
NIST SP 800-53 Revision 5::AC-8 a
","SV-110609;V-101505","Review the Cisco switch configuration to verify that it is compliant with this requirement as shown in the example below:

banner motd #
You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details.
#

If the Cisco switch is not configured to display the Standard Mandatory DoD Notice and Consent Banner before granting access to the device, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Open","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220482","medium","SV-220482r960864","CISC-ND-000210","Unclassified","4066","SRG-APP-000080-NDM-000220","The Cisco switch must be configured to protect against an individual falsely denying having performed organization-defined actions to be covered by non-repudiation.","Configure the switch to log administrator activity as shown in the steps below:

Step 1: Configure the AAA servers as shown in the example below:

SW1(config)# radius-server host 10.1.48.10 
SW1(config)# radius-server host 10.1.48.12

Step 2: Configure an AAA server group as shown in the example below:

SW1(config)# aaa group server radius RADIUS_SERVERS
SW1(config-radius)# server 10.1.48.10 
SW1(config-radius)# server 10.1.48.12
SW1(config-radius)# exit

Step 3: Enable AAA accounting as shown in the example below:

SW1(config)# aaa accounting default group RADIUS_SERVERS
SW1(config)# end","This requirement supports non-repudiation of actions taken by an administrator and is required in order to maintain the integrity of the configuration management process. All configuration changes to the network device are logged, and administrators authenticate with two-factor authentication before gaining administrative access. Together, these processes will ensure the administrators can be held accountable for the configuration changes they implement.

To meet this requirement, the network device must log administrator access and activity.","CCI-000166
Provide irrefutable evidence that an individual (or process acting on behalf of an individual) falsely denying having performed organization-defined actions to be covered by non-repudiation.
NIST SP 800-53::AU-10
NIST SP 800-53A::AU-10.1
NIST SP 800-53 Revision 4::AU-10
NIST SP 800-53 Revision 5::AU-10
","SV-110611;V-101507","Review the Cisco switch configuration to verify that it is compliant with this requirement as shown in steps below:

Step 1: Verify that account records will be sent to an AAA server as shown in the example below:

aaa accounting default group RADIUS_SERVERS

Step 2: Verify that the referenced group name has defined AAA servers that are online.

aaa group server radius RADIUS_SERVERS 
 server 10.1.48.10 
 server 10.1.48.12

Note: Cisco NX-OS devices report configuration activity to TACACS+ or RADIUS servers in the form of accounting records. Each accounting record contains accounting attribute-value (AV) pairs and is stored on the AAA server.

If logging of administrator activity is not configured, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not a Finding","","",,,"","","","",""
"Cisco NX OS Switch NDM","Cisco_NX-OS_Switch_NDM_STIG","Release: 6 Benchmark Date: 05 Jan 2026","3","V-220484","medium","SV-220484r1026067","CISC-ND-000290","Unclassified","4066","SRG-APP-000097-NDM-000227","The Cisco switch must produce audit records containing information to establish where the events occurred.","Enable OAL as shown in the example below:

SW1(config)# logging ip access-list cache entries nnnn

Set the 'log' parameter after any 'deny' entries in the ACL as referenced in the check text above.","In order to compile an accurate risk assessment and provide forensic analysis, it is essential for security personnel to know where events occurred, such as device hardware components, device software modules, session identifiers, filenames, host names, and functionality.

Associating information about where the event occurred within the network device provides a means of investigating an attack; recognizing resource utilization or capacity thresholds; or identifying an improperly configured device.","CCI-000132
Ensure that audit records containing information that establishes where the event occurred.
NIST SP 800-53::AU-3
NIST SP 800-53A::AU-3.1
NIST SP 800-53 Revision 4::AU-3
NIST SP 800-53 Revision 5::AU-3 c
","SV-110617;V-101513","Step 1: Review the deny statements in all ACLs to determine if the log parameter has been configured as shown in the example below:

ip access-list extended BLOCK_INBOUND
 deny icmp any any log

Step 2: Verify that the Optimized Access-list Logging (OAL) has been configured.

logging ip access-list cache entries nnnn

Note: Once OAL has been enabled, the logged ACL hits can be viewed via the show logging ip access-list cache command.

If the switch is not configured with the log parameter after any deny statements to note where packets have been dropped via an ACL, this is a finding.","M:Cisco_NX-OS_Switch_NDM_STIG.xml","","10.0","","","false","","","","","","","Not a Finding","","",,,"","","","",""
